ElapsedTime,Unix,VBUS,IBUS,DP,DM,CC1,CC2,TEMP,CHARGE,ENERGY,PWR,,,,
00:08.0,7.96,11.990154,0.437138,0.031,0.045,0.002,1.589,35.554688,0.001825839,0.021882881,5.2413519,,,,
00:08.0,7.98,11.990369,0.760663,0.031,0.047,0.004,1.586,35.554688,0.001830065,0.021933551,9.1206301,,,,
00:08.0,8,11.98906,0.81281,0.033,0.047,0.003,1.586,35.554688,0.001834581,0.021987689,9.7448279,,,,
00:08.0,8.02,11.987927,0.92582,0.033,0.05,0.003,1.589,35.554688,0.001839724,0.022049348,11.098663,,,,
00:08.0,8.04,11.986951,0.908321,0.033,0.046,0.004,1.587,35.554688,0.00184477,0.022109837,10.887999,,,,
00:08.1,8.06,11.986248,0.936479,0.032,0.045,0.005,1.588,35.554688,0.001849973,0.022172197,11.22487,,,,
00:08.1,8.08,11.98574,0.922182,0.031,0.044,0.005,1.589,35.554688,0.001855096,0.022233603,11.053034,,,,
00:08.1,8.1,11.985349,0.986936,0.031,0.047,0.003,1.589,35.554688,0.001860579,0.022299319,11.828772,,,,
00:08.1,8.12,11.984236,1.033751,0.033,0.046,0.005,1.588,35.554688,0.001866322,0.022368145,12.388716,,,,
00:08.1,8.14,11.983591,0.964125,0.032,0.045,0.004,1.589,35.554688,0.001871679,0.022432332,11.55368,,,,
00:08.2,8.16,11.983259,0.95638,0.034,0.048,0.003,1.59,35.554688,0.001876992,0.022496002,11.460549,,,,
00:08.2,8.18,11.98324,0.938563,0.034,0.048,0.003,1.59,35.554688,0.001882206,0.022558485,11.247026,,,,
00:08.2,8.2,11.982732,0.963099,0.032,0.048,0.003,1.589,35.546875,0.001887557,0.022622599,11.540557,,,,
00:08.2,8.22,11.9824,0.914453,0.033,0.048,0.003,1.589,35.546875,0.001892637,0.022683473,10.957342,,,,
00:08.2,8.24,11.982439,0.890596,0.032,0.047,0.004,1.588,35.546875,0.001897585,0.02274276,10.671512,,,,
00:08.3,8.26,11.983689,0.702203,0.033,0.044,0.003,1.587,35.546875,0.001901486,0.022789509,8.4149824,,,,
00:08.3,8.28,11.984588,0.93633,0.033,0.046,0.004,1.588,35.546875,0.001906688,0.022851851,11.221529,,,,
00:08.3,8.3,11.98242,1.03588,0.032,0.047,0.004,1.59,35.546875,0.001912442,0.022920809,12.412349,,,,
00:08.3,8.32,11.981345,1.0359,0.036,0.05,0.004,1.589,35.546875,0.001918197,0.022989761,12.411475,,,,
00:08.3,8.34,11.981287,0.936756,0.032,0.047,0.003,1.589,35.546875,0.001923402,0.023052114,11.223542,,,,
00:08.4,8.36,12.029431,0.616844,0.033,0.045,0.001,1.589,35.546875,0.001926829,0.023093338,7.4202823,,,,
00:08.4,8.38,12.059588,0.498745,0.034,0.045,0.003,1.588,35.546875,0.001929599,0.023126753,6.0146592,,,,
00:08.4,8.4,12.056677,0.497385,0.032,0.047,0.003,1.588,35.546875,0.001932363,0.023160069,5.9968103,,,,
00:08.4,8.42,12.053572,0.496105,0.031,0.048,0.002,1.588,35.5625,0.001935119,0.02319329,5.9798373,,,,
00:08.4,8.44,12.050564,0.49489,0.033,0.049,0.002,1.587,35.5625,0.001937868,0.023226422,5.9637036,,,,
00:08.5,8.46,12.047791,0.494045,0.032,0.045,0.002,1.586,35.5625,0.001940613,0.023259489,5.9521509,,,,
00:08.5,8.48,11.994978,0.728401,0.035,0.049,0.004,1.589,35.5625,0.00194466,0.023308029,8.737154,,,,
